transcript_id,contig,start,end,strand,gene_id,biotype,transcript_name,ncRNA_biotype,disease_variants_present,number_variants,blast_hit
ENST00000621052,14,19348216,19384587,-,ENSG00000274827,lncRNA,LINC01297-202,lincRNA,False,0,O00370
ENST00000549804,15,25050632,25138756,+,ENSG00000224078,lncRNA,SNHG14-210,antisense_RNA,False,0,B0Y4D6
ENST00000415801,9,86948699,87002033,+,ENSG00000226237,lncRNA,GAS1RR-201,lincRNA,False,0,Q96CB5
ENST00000609590,6,166999405,167139141,+,ENSG00000272980,retained_intron,,retained_intron,True,4,O54689
ENST00000523176,5,149216523,149276805,-,ENSG00000253406,lncRNA,,antisense_RNA,True,5,O94929
ENST00000457356,8,71844039,72056312,+,ENSG00000235531,lncRNA,MSC-AS1-201,antisense_RNA,True,26,O75762
ENST00000623511,13,18195297,18232024,+,ENSG00000279516,lncRNA,FAM230C-201,processed_transcript,False,0,Q8N402
ENST00000569476,13,90060247,90119719,-,ENSG00000261446,lncRNA,LINC00559-201,lincRNA,False,0,Q6UX73
ENST00000605920,10,79825902,79827602,+,ENSG00000272447,lncRNA,,lincRNA,False,0,Q8FS66
ENST00000498032,3,112302478,112332791,+,ENSG00000239482,lncRNA,,lincRNA,False,0,Q8NEM8
ENST00000354921,1,177928788,178022544,-,ENSG00000254154,lncRNA,CRYZL2P-SEC16B-201,processed_transcript,True,7,Q6AW68
ENST00000610578,1,149607344,149679523,+,ENSG00000277147,processed_transcript,LINC00869-206,lincRNA,False,0,P0C866
ENST00000432735,21,46229234,46242999,+,ENSG00000215424,lncRNA,MCM3AP-AS1-204,antisense_RNA,True,62,O60318
ENST00000623395,12,24993424,24997439,-,ENSG00000226397,lncRNA,LINC02909-203,lincRNA,False,0,C9JDV5
ENST00000464428,1,177928791,178038007,-,ENSG00000254154,retained_intron,CRYZL2P-SEC16B-202,retained_intron,True,7,Q6BCB4
ENST00000622621,16,79202624,79206739,-,ENSG00000277954,lncRNA,,antisense_RNA,False,0,Q7P112
ENST00000588286,19,35541582,35545492,-,ENSG00000236144,lncRNA,TMEM147-AS1-202,antisense_RNA,True,3,O14556
ENST00000417927,4,122618983,122689156,+,ENSG00000227145,lncRNA,IL21-AS1-201,antisense_RNA,True,18,Q9HBE4
ENST00000466953,1,177928791,178022587,-,ENSG00000254154,retained_intron,CRYZL2P-SEC16B-203,retained_intron,True,7,Q96JE7
ENST00000455485,22,23638487,23693151,-,ENSG00000228315,lncRNA,GUSBP11-209,processed_transcript,False,0,Q8IZJ4
ENST00000532526,9,97250829,97377098,+,ENSG00000255036,lncRNA,SUGT1P4-STRA6LP-CCDC180-203,processed_transcript,True,3,Q9P1Z9
ENST00000428584,22,27992469,28008581,+,ENSG00000235954,lncRNA,TTC28-AS1-206,antisense_RNA,True,5,Q96AY4
ENST00000619068,5,158320683,158409773,-,ENSG00000276778,lncRNA,LINC02227-201,lincRNA,False,0,Q8NAE3
ENST00000600123,19,58346854,58356225,-,ENSG00000268230,lncRNA,,processed_transcript,False,0,Q2KJF1
ENST00000447563,7,159008354,159022680,+,ENSG00000231419,lncRNA,LINC00689-204,lincRNA,False,0,Q8N7I0
